research_id,seed,scout_id,start_distance_m,final_distance_m,distance_reduction_m
R01,82784102,2,2.967062537632061,5.247161974241134,-2.280099436609073
R01,82784102,1,8.367991887987326,12.813109852117686,-4.445117964130359
R01,82784102,0,2.9725497243804004,5.899428720499928,-2.926878996119527
R02,98386804,2,2.8301609158570664,13.309124281019258,-10.478963365162192
R02,98386804,1,8.347948040123475,6.622143779663861,1.725804260459614
R02,98386804,0,2.9653382336429828,13.063374145007646,-10.098035911364663
R03,358777504,0,2.975878134145553,5.8422420900284,-2.8663639558828464
R03,358777504,1,8.364102376885995,9.20556649331927,-0.8414641164332739
R03,358777504,2,15.216680788485252,10.24733497110114,4.969345817384113
R04,385197017,2,2.979800940041289,9.362211298803224,-6.382410358761936
R04,385197017,0,8.360658043795278,10.746794749747727,-2.386136705952449
R04,385197017,1,2.984374831972925,7.764359181122181,-4.779984349149256
R04,385197017,0,15.189683144764775,10.746794749747727,4.442888395017048
R05,413997162,2,2.980264829141798,15.35494044253526,-12.37467561339346
R05,413997162,0,8.345734944530719,6.944465271658896,1.4012696728718224
R05,413997162,1,8.620410576061355,2.9694434169198574,5.650967159141498
R05,413997162,1,2.9790022392442292,2.9694434169198574,0.009558822324371885
